id,0,5,11,13,14
## Translators
#5  RusTranslation: Tommy-XL
#13 SChinese: fivefirex&ZeMingOH233 New Roles: 2T&MC-AS-Huier&xiaojin (Edit: Tanakanira)
#14 TChinese: NetherDragon_Tw (Edit: Soukunsandesu)
#?  German: DenKar

## 役職
Neutral,Neutral and Coven,Нейтрал и Ковен,第三陣営,中立阵营(包括巫师),中立陣營,Neutrale und Zirkel
RandomMapsModeInfo,RandomMapsMode:\nA mode in which the map changes randomly. (with settings),"СлучайнаяКарта:\nРежим, в котором карты случайным образом меняются в каждой игре. (в настройках)",ランダムマップモード:\nランダムにマップが変わるモード。(設定有),随机地图:\n随机选择地图游玩的模式。(可以进行设置),"隨機地圖模式:\n該模式會隨機挑選地圖。 (可以設定)","RandomMapsMode:\nA mode in which the map changes randomly. (with settings)"
SpeedrunInfo,"Speedrun Gamemmode:\nIn this Gamemode, there are only crewmates called Taskers. Taskers have to complete all their tasks before the others do. However, completing your tasks isn't a guaranteed victory.\nAfter you complete all your tasks, you gain Puppeteer's Ability. You must now seek out all the remaining Taskers and kill all of them.\nThe last Tasker remaining wins!\nImpostors may spawn! Their job is to kill all Taskers alive before they kill the Impostors!"

CamoCommsInfo,"CamoComms:\nDuring the Comms sabotage, everyone will have no name or clothing and all appear gray.","СабСвязиМаскировка:\nВо время саботажа связи у всех игроков не будет ни никнейма, ни скина, и все станут серыми.","CamoComms:\nDuring the Comms sabotage, everyone will have no name or clothing and all appear gray.","破坏通讯干扰信息:\n当通讯被破坏时，所有人的信息会被干扰，颜色变成统一的灰色。","CamoComms:\nDuring the Comms sabotage, everyone will have no name or clothing and all appear gray."
DisableDevicesInfo,"DisableDevices:\nVarious devices can be disabled (currently admin only, MiraHQ not supported)","ОтключитьУстройства:\nРазличные устройства могут быть отключены (в настоящее время только стол администратора, кроме MiraHQ)",デバイスを無効化:\n各種機器を無効化することができる。(現在はアドミンのみ、MiraHQ非対応),禁用设备:\n可以禁用各种设备。(目前只支持管理地图，不支持米拉总部),"禁用設備:\n可以禁用各種設備。 (目前只支持管理室地圖,不支持MIRA HQ)","DisableDevices:\nVarious devices can be disabled (currently admin only, MiraHQ not supported)"

## 詳細設定
AdvancedRoleOptions,Advanced Options,Расширенные Опции,詳細設定,详细设置,進階設定,Fortgeschrittene Optionen
AdvancedImpostorRoleOptions,Advanced Impostor Role Options,Расширенные Параметры Роли Предателя,インポスター役職の詳細設定,伪装者阵营职业详细设置,進階狼人職業選項,Fortgeschrittene Verräteroptionen
AdvancedCrewmateRoleOptions,Advanced Crewmate Role Options,Расширенные Параметры Роли Члена Экипажа,クルーメイト役職の詳細設定,船员阵营职业详细设置,進階船員職業選項,Fortgeschrittene Besatzungsoptionen
BountyTargetChangeTime,Time To Swap Bounty(s),Время Смены Его Цели,バウンティハンターのターゲット変更時間,赏金猎人目标变更间隔的时间,賞金目標切換時間,Zeit bis zum Wechsel
EnableLastImpostor,Enable LastImpostor,Включить Последний Предатель,ラストインポスターの有効化,启用绝境者,啟用絕境者,Letzer Verräter aktivieren
LastImpostorKillCooldown,LastImpostor Kill Cooldown,Последний Предатель Откат Убийства,ラストインポスターのキルクール,绝境者击杀冷却,絕境者殺人冷卻,Letzter Verräter Kill Abklingzeit
BountySuccessKillCooldown,Kill Cooldown After Killing Bounty,Перезарядка После Убитой Цели,バウンティハンターのターゲット殺害時のキルクール,当击杀悬赏目标后冷却时间,賞金獵人殺死賞金目標冷卻,Kill Abklingzeit nach tötung des Ziels
BountyFailureKillCooldown,Kill Cooldown After Killing Others,Перезарядка После Обычного Убийства,バウンティハンターのターゲット以外殺害時のキルクール,当击杀非悬赏目标后冷却时间,賞金獵人殺死非賞金目標冷卻,Kill Abklingzeit nach tötung anderer
DefaultShapeshiftCooldown,Default Shapeshift Cooldown,Обычная Перезарядка Оборотня,デフォルトの変身クールダウン,变形者变形冷却,預設變身時間,Standart formwandel Dauer
VampireKillDelay,Vampire Kill Delay(s),Длительность Укуса,ヴァンパイアの殺害までの時間(秒),吸血鬼击杀延迟时间,吸血鬼殺人延遲,Vampir Mord verzögerung
MareSpeedInLightsOut,Mare Player Speed In Lights Out,Скорость Mare При Саботаже Света,停電時のメアーの移動速度,梦魇熄灯时移动速度,關燈時黑暗博士的移動速度,Alptraum Geschwindigkeit im Dunkeln
MareKillCooldownInLightsOut,Mare Kill Cooldown In Lights Out,Откат Убийства Mare При Саботаже Света,停電時のメアーのキルクール,梦魇熄灯时击杀冷却,關燈時黑暗博士的殺人冷卻,Alptraum Kill Abklingzeit
SabotageMasterSkillLimit,SabotageMaster Fix Ability Limit(Except Opening Doors),Лимит Способности (Кроме Открытия Дверей),ｻﾎﾞﾀｰｼﾞｭﾏｽﾀｰがｻﾎﾞﾀｰｼﾞｭに対して能力を使用できる回数(ﾄﾞｱ閉鎖は除く),修理大师修理最大次数,破壞大師修理破壞次數上限,Hausmeister reparier Limit(Ausser Türen)
CamouflagerCamouflageCoolDown,Camouflager Camouflage CoolDown,Откат Камуфляжа,カモフラージャーのカモフラージュクールダウン,隐蔽者伪装冷却时间,Camouflage Abklingzeit
CamouflagerCamouflageDuration,Camouflager Camouflage Duration,Длительность Камуфляжа,カモフラージャーのカモフラージュ持続時間,隐蔽者伪装持续时间,Camouflage Dauer
CanMakeMadmateCount,SidekickMadmate Maximum,Максимум SidekickMadmate,マッドメイトを作れる人数,招募叛徒最大人数,變形者招募叛徒最大人數,Jäger Maximum
MadSnitchCanVent,MadSnitch Can Use Vent,MadSnitch Может Вентоваться,マッドスニッチがベントを使える,背叛的告密者可以使用通风口,背叛的告密者可以使用通风口,MadSnitch kann venten
MadSnitchTasks,MadSnitch Tasks,Задания MadSnitch,マッドスニッチのタスク数,背叛的告密者任务数,背叛告密者任務數量,MadSnitch Aufgaben
MadGuardianCanSeeWhoTriedToKill,MadGuardian Can See Who Tried To Kill,MadGuardian Видит Кто Пытался Его Убить,マッドガーディアンが自身の殺害未遂者を知ることができる,背叛的守卫可以得知谁试图伤害自己,背叛天使可以看到是誰嘗試殺害自己,MadGuardian kann sehen wer versucht hat zu morden
ChildKnown,Child is Known to Everyone,Все игроки знают кто Child,Child is Known to Everyone,所有人都知道谁是小孩,Jeder weiß wer das Kind ist
JesterVent,Jester Can Vent,Может Вентоваться,Jester Can Vent,小丑可以使用通风口,Hoffnar kann Venten
SwooperCanVentInvis,Swooper can Vent Invisible,Swooper Может Вентоваться Когда Он Невидимый,SwooperCanVentInvis,隐身人使用管道键隐身,Swooper kann Unsichtbar venten
SKkillsRoleblockers,Serial Killers kills people who Roleblock them,SKkillsRoleblockers,SKkillsRoleblockers,封锁豺狼击杀按键,SKkillsRoleblockers,Serienkiller töten bei Rollenblockierung
GameProgression,ToS Style Game,Игра в стиле ToS,GameProgression,ToS游戏风格,ToS Style
RoundReview,Death Round Review,Обзор раунда смерти,RoundReview,死亡信息回顾,RoundReview,Runden Zusammenfassung
AmnesiacRememberAnnouncement,Amnesiac Remember Announcement,Amnesiac Запомнить объявление,AmnesiacRememberAnnouncement,窃忆者寻忆成功提示,Amnesiac Remember Ansage
GuardianAngelVoteImmunity,Guardian Angel Target Vote Immunity,Иммунитет к голосованию цели Guardian Angel,GuardianAngelVoteImmunity,守护天使免疫目标投票,Schutzengel Stimmimmunität
SwooperCooldown,Swoop Cooldown,Swooper Откат,SwooperCooldown,隐身冷却时间,SwooperCooldown,Swooper Abklingzeit
SwooperDuration,Swoop Duration,Swooper Длительность,SwooperDuration,隐身持续时间,SwooperDuration,Swoop Dauer
NumOfTransports,Number of Transports,Колличество Телепортаций,NumOfTransports,传送次数,Transport Anzahl
TransportCooldown,Transport Cooldown,Откат Телепортации,TransportCooldown,传送冷却时间,Transport Abklingzeit
DictatesUntilSuicde,Dictates Until Suicide,Диктует до самоубийства,DictatesUntilSuicde,死亡自述,DictatesUntilSuicde, Dictates Until Suicide
KillsForVote,Kills Per Vote,Убийство за голосование,KillsForVote,每票所需杀人数,KillsForVote,Kill pro Stimme
VoteAmtOnCompletion,Vote Gain on Completion,Голоса за завершение,VoteAmtOnCompletion,会议结束时增加票数,VoteAmtOnCompletion,Stimmgewinn bei beendigung
CheckRoleTwiceBeforeAdd,Check Percentage of Role for Each Count before Adding,Проверьте процент роли для каждого счетчика перед добавлением,CheckRoleTwiceBeforeAdd,查看已被启用的职业概率,Überprüfe den Prozentsatz für jede Rolle bevor dem hinzufügen
CamouflagerCanVent,Camouflager Can Vent,Camouflager Может Вентоваться,CamouflagerCanVent,隐蔽者可以使用通风口,CamouflagerCanVent, Camouflager kann venten
TosOptions,TOS Options,TOS Настройки,TosOptions,TOS设置,TOS Optionen
AttackDefenseValues,Attack & Defense Values,Атака & Защита ценности,AttackDefenseValues,攻击与防御值,Attack & Defense Values
JesterHasImpostorVision,Jester Has Impostor Vision,Jester Имеет Дальность Обзора Предателя,JesterHasImpostorVision,小丑拥有伪装者视野,Hoffnar hat Verräter Sicht
BombCooldown,Bomb Cooldown,Откат бомбы,BombCooldown,传递冷却时间,BombCooldown,Bomben Abklingzeit
KillCooldownResets,Kill Cooldown Resets when they Attack Higher Defense,Откат убийства сбрасывается когда они атакуют более высокую защиту,KillCooldownResets,攻击高防御玩家时重置击杀冷却时间,KillCooldownResets,Kill Abklingzeit wird zürückgesetzt bei höherer Verteidigung
MadmateCanFixLightsOut,Madmates Can Fix Lights Out,Madmates Могут Чинить Свет,マッドメイト系役職が停電を直すことができる,叛徒职业可以修理配电,叛徒職業的玩家可以修理電燈,Madmates können Licht reparieren
MadmateCanFixComms,Madmates Can Fix Comms,Madmates Могут Чинить Связь,マッドメイト系役職が通信障害を直すことができる,叛徒职业可以修理通讯,叛徒職業的玩家可以修理通訊,Madmates können Comms reparien
MadmateHasImpostorVision,Madmates Have Impostor Vision,Madmates Имеют Дальность Обзора Предателя,マッドメイト系役職の視野がインポスターと同じ,叛徒职业拥有伪装者视野,叛徒職業的玩家有跟狼人一樣的視野,Madmates haben Verräter Sicht
MadmateVentCooldown,Madmates Vent Cooldown,Откат Вентиляции Madmates,マッドメイト系役職のベントクールダウン,叛徒职业使用通风口冷却时间,叛徒職業的玩家跳通风口冷卻,Madmate Vent Abklingzeit
MadmateVentMaxTime,Madmates Max Time In Vents(s),Время Использования Вентиляции Madmates,マッドメイト系役職のベント内での最大時間,叛徒职业在通风口中停留最大时间,叛徒職業的玩家在通风口中可以停留的最大時間,Madmate Max Vent Dauer
EvilWatcherChance,EvilWatcher Chance,Evil Watcher Шанс,イビルウォッチャーになる確率,窥视者成为伪装者阵营的概率,成為邪惡觀察者的機率,Böser Beobachter Chance
EvilGuesserChance,Evil Guesser Chance,Evil Guesser Шанс,イビルゲッサーになる確率,成为邪恶的赌怪的概率,成為邪惡猜測者的概率,Böser Rater Chance
ConfirmedEvilGuesser,Number of Evil Guesser,Колличество Отгадываний У Evil Guesser,確定イビルゲッサーの人数,邪恶的赌怪的数量,邪惡猜測者的數量,Bestätigter böser Rater
CanShootAsNormalCrewmate,Arrow to shoot as Normal Crewmate,Стрелка чтобы стрелять как Обычный Член Экипажа,クルー打ちを許可,可以猜测普通船员,作為正常船員射擊的箭頭,Pfeil zum schießen als normaler Besatzungmitglied
GuesserShootLimit,Guesser shoot limit,Лимит отгадывания у Guesser,ゲッサーが打てる回数,猜测最大次数,猜測者猜测限制,Rater Shußlimit
PaintersHaveImpVision,Painters have Impostor Vision,Painters имеют зрение самозванца,PaintersHaveImpVision,油漆工有伪装者视野,Maler haben Verräter Sicht
CanKillMultipleTimes,Can Kill multiple times during Meeting,Может убить несколько раз во время Встречи,１会議中に複数回殺せる,可以连续猜测,可以在一次會議中被殺死多次,Kann mehrmals töten pro Meeting
PirateGuessAmount,Pirate Guess Win Amount,Сумма Отгадываний Для Победы Pirate,PirateGuessAmount,海盗猜中多少次胜利,Piraten ratemenge für Sieg
NeutralGuesserChance,Neutral Guesser Chance,Нейтральный Отгадыватель Шанс,NeutralGuesserChance,海盗出现的概率,Neutrale Rater Chance
HitmanKillCooldown,Hitman Kill Cooldown,Hitman Откат Убийства,HitmanKillCooldown,击杀冷却时间,HitmanKillCooldown,Auftragsmörder Kill Abklingzeit
AutoKick,Auto Kick (Use /h ak for Info),Авто Кик (Используйте ''/h ak'' для информации),AutoKick,自动踢出(使用“/h ak”获取信息),AutoKick,AutoKick(benutze /h ak für info)
HitmanCanVent,Hitman Can Vent,Hitman Может Вентоваться,HitmanCanVent,可以使用通风口,HitmanCanVent,Auftragsmörder kann venten
HitmanHasImpVision,Hitman has Impostor Vision,Hitman Имеет Обзор Предателя,HitmanHasImpVision,拥有伪装者视野,HitmanHasImpVision,Auftragsmörder hat Verräter Sicht
HitmanCanWinWithExeJes,Hitman can Win with Exe/Jester/Swapper/Lovers,Hitman Может Победить с Exe/Jester/Swapper/Lovers,HitmanCanWinWithExeJes,可以与处刑人/小丑/挑衅者/恋人一起胜利,HitmanCanWinWithExeJes,Auftragsmörder kann mit Henker/Hoffnar/Swapper/Liebende gewinnen
LighterTaskCompletedVision,Lighter Expanded Vision,Дальность Обзора Lighter,ライターのタスク完了時の視界,执灯人完成任务后的视野,小燈人做完任務的視野,Feuerzeugs erweiterte Sicht
EscortCooldown,Escort Cooldown,Escort Откат,EscortCooldown,护卫冷却时间,EscortCooldown,Escort Abklingzeit
EscortPreventsVent,Escort Prevents Vent,Escort Предотвращает Вентиляцию,EscortPreventsVent,护卫阻止通风口,EscortPreventsVent,Escort verhinder venting
CrusadeCooldown,Crusade Cooldown,Crusade Откат,CrusadeCooldown,十字军冷却时间,CrusadeCooldown,Kreuzug Abklingzeit
BanInsteadOfKick,Ban the Person instead of Kicking Them,Забаньте человека вместо того, чтобы пинать его,BanInsteadOfKick,封禁而非踢出该人, Banne den Spieler anstatt kick
BewilderVision,Bewilder Vision,Bewilder Дальность Обзора,Vision,迷幻视野,Kurzsichtige Sicht
SheriffCanKillHitman,Sheriff Can Kill Hitman,Sheriff Может Убить Hitman,SheriffCanKillHitman,警长可以执法雇佣杀手,SheriffCanKillHitman,SHeriff kann den Auftragsmörder töten
SheriffCanKillPostman,Sheriff Can Kill Postman,SheriffCanKillPostman,SheriffCanKillPostman,SheriffCanKillPostman,SheriffCanKillPostman,Sheriff kann den Postboten töten
TasksRemainingForPhantomClicked,Tasks Remaining when Phantom can be Killed,Оставшиеся задания у Фантома когда его можно убить,TasksRemainingForPhantomClicked,杀死幻影需要剩余任务数,Aufgaben übrig bis das Phantom gewählt werden kann
TasksRemaningForPhantomAlert,Tasks Remaining when Everyone Gets an Arrow pointing Towards Phantom,Оставшиеся задания когда все игроки узнают о Фантоме,TasksRemaningForPhantomAlert,所有人都可以看到幻影箭头时剩下的任务,Aufgaben übrig bis jeder ein Anzeige zum Phantom bekommt
LighterTaskCompletedDisableLightOut,Lighter Gains Impostor Vision,Имеет Дальность Обзора Предателя,タスク完了時に停電を無効にする,完成任务的执灯人不受熄灯影响,完成任務的小燈人視野不受關燈影響,Das Feuerzeug hat Verräter Sicht
SabotageMasterFixesDoors,SabotageMaster Can Open Multiple Doors,Может Открыть Несколько Дверей,ｻﾎﾞﾀｰｼﾞｭﾏｽﾀｰが1度に複数のﾄﾞｱを開けることを許可する,修理大师可以打开房间内被关的门,破壞大師可以修理多扇門,Hausmeister kann mehrere Türen öffnen
SabotageMasterFixesReactors,SabotageMaster Can Fix Both Reactors,Может Починить Саботаж Реактора,ｻﾎﾞﾀｰｼﾞｭﾏｽﾀｰが原子炉ﾒﾙﾄﾀﾞｳﾝに対して能力を使える,修理大师可以一人修理核反应堆,破壞大師可以一個人同時修理兩邊的反應堆,Hausmeister kann Reaktor alleine reparieren
SabotageMasterFixesOxygens,SabotageMaster Can Fix Both O2,Может Починить Саботаж O2,ｻﾎﾞﾀｰｼﾞｭﾏｽﾀｰが酸素妨害に対して能力を使える,修理大师可以同时修理所有氧气,破壞大師可以一個人同時修理兩邊的氧氣,Hausmeister kann O2 alleine reparieren
SabotageMasterFixesCommunications,SabotageMaster Can Fix Both Comms In MIRA HQ,Может Починить Саботаж Связи На Mira HQ,ｻﾎﾞﾀｰｼﾞｭﾏｽﾀｰがMIRA HQの通信妨害に対して能力を使える,修理大师在米拉总部地图可以同时修理通讯,破壞大師可以一個人同時修理兩邊的通訊(Mira HQ),Hausmeister kann Coms alleine reparieren(MIRAHQ)
SabotageMasterFixesElectrical,SabotageMaster Can Fix Lights Out All At Once,Может Починить Саботаж Света Сразу,ｻﾎﾞﾀｰｼﾞｭﾏｽﾀｰが停電に対して能力を使える,修理大师可以按一个按钮修复配电,破壞大師拉一根拉桿就可以修理電燈,Hausmeister kann Licht Sabotage mit einem Schalter reparien
SheriffKillCooldown,Sheriff Kill Cooldown,Откат Убийства Sheriff,シェリフのキルクール,警长执法冷却,警長執法冷卻,Sheriff Kill Abklingzeit
DisableTaskWin,Disable Task Win,Отключить Победу По Заданиям,DisableTaskWin,禁用任务胜利,Deaktiviere Aufgaben Sieg
ControlCooldown,Witch Cooldown,ControlCooldown,ControlCooldown,巫女冷却时间,ControlCooldown,Verzauber Abklingzeit
NumOfWitchesPerRound,Max Witches per Round,NumOfWitchesPerRound,NumOfWitchesPerRound,每轮最大巫女数,Maximale Hexen pro Runde
SheriffCanKillArsonist,Sheriff Can kill Arsonist,Sheriff Может Убить Arsonist,シェリフがアーソニストをキルできる,警长可以执法纵火犯,警長可以槍死縱火犯,Sheriff kann Brandstifter töten
SA,Hacker Sabotage Amount,Сумма Очков Саботажей,Hacker Sabotage Amount,黑客需要修复破坏获得积分,Sabotage Menge
LaptopPercentages,Use Laptop Percentages Instead Of File,Использовать проценты ноутбука вместо файла,LaptopPercentages,配置面板显示概率非文件,Benutze Laptop Prozentsatz anstatt Datei
SheriffCanKillJester,Sheriff Can Kill Jester,Sheriff Может Убить Jester,シェリフがジェスターをキルできる,警长可以执法小丑,警長可以槍死小丑,SHeriff kann Jester töten
SheriffCanKillTerrorist,Sheriff Can Kill Terrorist/CrewPostor,Sheriff Может Убить Terrorist/CrewPostor,シェリフがテロリストをキルできる,警长可以执法恐怖分子/舰长,警長可以槍死恐怖分子,Sheriff kann Terroist/CrewPoster töten
SheriffCanKillExecutioner,Sheriff Can Kill Executioner/Swapper,Sheriff Может Убить Executioner/Swapper,シェリフがエクスキューショナーをキルできる,警长可以执法处刑人/挑衅者,警長可以槍死劊子手,Sheriff kann Henker/Swapper töten
SheriffCanKillOpportunist,Sheriff Can Kill Opportunist/Survivor,Sheriff Может Убить Opportunist/Survivor,シェリフがオポチュニストをキルできる,警长可以执法投机者/求生者,警長可以槍死投機主義者,Sheriff kann Opportunist/Überlenbskünstler töten
SheriffCanKillMadmate,Sheriff Can Kill Madmates,Sheriff Может Убить Madmates,シェリフがマッドメイトをキルできる,警长可以执法叛徒,警長可以槍死叛徒,Sheriff kann MadMates töten
SheriffCanKillEgoist,Sheriff Can Kill Egoist,Sheriff Может Убить Egoist,シェリフがエゴイストをキルできる,警长可以执法野心家,警長可以槍死利己主義者,Sheriff kann den Egoisten töten
SheriffCanKillPB,Sheriff Can Kill PlagueBearer,Sheriff Может Убить PlagueBearer,Sheriff Can Kill PlagueBearer,警长可以执法疫医,Sheriff kann Patient Zero töten
SheriffCanKillVulture,Sheriff Can Kill Vulture,Sheriff Может Убить Vulture,SheriffCanKillVulture,警长可以执法秃鹫,Sheriff kann Geier töten
SheriffCanKillCoven,Sheriff Can Kill Coven,Sheriff Может Убить Coven,SheriffCanKillCoven,警长可以执法巫师,Sheriff kann Zirkel töten
SheriffCanKillAgitater,Sheriff Can Kill Agitater,SheriffCanKillAgitater,SheriffCanKillAgitater,警长可以执法煽动者,Sheriff kann AgiTater töten
SleuthReport,Sleuth Has to Report,Sleuth Должен Зарепортить,Sleuth Has to Report,侦探必须报告,Spürhund muss melden
SkipInfect,Skip PlagueBearer Infection,Пропустить Инфекцию у PlagueBearer ,Skip PlagueBearer Infection,跳过感染过程成为瘟神,,ÜBerspringe Infektionsphase
Bodies,Bodies Needed To Be Eaten,Колличество Трупов Которые Нужно Съесть,Bodies Needed To Be Eaten,需要吃尸体的数量,Leichen die gefressen werden müssen
ImpostorsKnowEgo,Impostors Know Egoist,Предатели Знают Кто Egoist,ImpostorsKnowEgo,伪装者阵营可以知道野心家,Verräter wissen wer Egoist ist
SheriffCanKillEgoShrodingerCat,Sheriff Can Kill EgoistSide ShrodingerCat,Sheriff Может Убить EgoistСторону ShrodingerCat,シェリフがエゴイスト陣営のシュレディンガーの猫をキルできる,警长可以执法自私阵营的薛定谔的猫,警長可以槍死利己主義者方的薛定諤的貓,Sheriff kann Schrödingers Katze(Egoist) töten
SheriffCanKillJackal,Sheriff Can Kill Serial Killer,Sheriff Может Убить Serial Killer,シェリフがジャッカルをキルできる,警长可以执法豺狼,警長可以槍死豺狼,Sheriff kann SerienKiller töten
SheriffCanKillJShrodingerCat,Sheriff Can Kill Serial KillerSide ShrodingerCat,Sheriff Может Убить Serial Killer Сторону ShrodingerCat,シェリフがジャッカル陣営のシュレディンガーの猫をキルできる,警长可以执法豺狼阵营的薛定谔的猫,警長可以槍死豺狼方的薛定諤的貓,Sheriff kann Schrödingers Katze(Verräter) töten
SheriffCanKillCrewmatesAsIt,Sheriff Can Kill Crewmates As It,Sheriff Может Убивать Членов Экипажа,シェリフがそのままクルーをキルできる,警长执法船员时会同归于尽,警長走火時會讓嘗試槍的玩家同歸於盡,Sheriff kann die Besatzung töten
SheriffShotLimit,Sheriff Shot Limit,Лимит Выстрелов Sheriff,シェリフのキル可能回数,警长最大执法次数,警長最大子彈數量,Sheriff Munition
HideCommand,Hide Command,Скрыть Команды,HideCommand,隐藏命令,HideCommand,HideCommand
PuppeteerCanKillAlliedPlayers,Puppeteer can Kill Allied Players,PuppeteerCanKillAlliedPlayers,PuppeteerCanKillAlliedPlayers,PuppeteerCanKillAlliedPlayers,Puppenspieler kann allierte töten
WarlockCanKillAlliedPlayers,Warlock can Kill Allied Players,WarlockCanKillAlliedPlayers,WarlockCanKillAlliedPlayers,WarlockCanKillAlliedPlayers,Hexenmeister kann allierte töten
UseVentButtonInsteadOfPet,Use Vent Button Instead of Pet,UseVentButtonInsteadOfPet,UseVentButtonInsteadOfPet,UseVentButtonInsteadOfPet,Benutze Ventknopf anstatt pet
MaxDousedAtOnce,Maximum Amount to be Doused at One Time,MaxDousedAtOnce,MaxDousedAtOnce,MaxDousedAtOnce,Maximale Menge an Spieler die übergossen werden können
MinDouseToInginite,Minimum Amount of Players to be Doused to Ignite,MinDouseToInginite,MinDouseToInginite,MinDouseToInginite,Minimale Menge an Spieler die übergossenwerden müssen um abzufackeln
PassCooldown,Pass Cooldown,PassCooldown,PassCooldown,PassCooldown,Abgabe Abklingzeit
ReportBaitAgi,Report Bait,ReportBaitAgi,ReportBaitAgi,ReportBaitAgi,ReportBaitAgi,Melde Köder
SpeedrunGamemode,Speedrun Gamemode,SpeedrunGamemode,SpeedrunGamemode,SpeedrunGamemode,SpeedrunGamemode
GarunteePet,Guarantee Pet (makes pet visible to everyone),Garuntee Pet (делает питомца видимым для всех),GarunteePet,显示宠物（使宠物让所有人可见）,Garantiere Pets
AccurateWinner,Accurate Winner For Clients,AccurateWinner,AccurateWinner,AccurateWinner,Akurrate Gewinner für Clients
KillFlashDuration,Kill Flash Duration(s),Длительность Вспышки Убийсва,キルフラッシュの長さ(秒),击杀闪烁持续时间(秒),Blitzlicht Dauer
SheriffCanKillJug,Sheriff Can Kill Juggernaut/Marksman/BloodKnight,Sheriff Может Убить Juggernaut,シェリフのキル可能回数,警长可以执法欲望杀手/神射手/嗜血骑士,Sheriff kann Juggernaut töten
DoctorTaskCompletedBatteryCharge,Doctor Battery Duration,Длительность Батарейки Doctor,ドクターがタスクを終わらせたときにセットされるバイタルの秒数,医生电池持续时间,醫生完成任務充電秒數,Doktor Batterie Ladung
SnitchEnableTargetArrow,Snitch Can See Target Arrow,Может Видеть Стрелку Цели,ターゲットを示す矢印が見える,告密者可以看到目标箭头,告密者完成任務後可以看到目標的箭頭,Petze kann Zielpfeil sehen
SnitchCanGetArrowColor,Snitch Can See Colored Arrow,Может Видеть Цвета Стрелок,矢印の色で陣営がわかる,告密者对不同阵营的目标使用不同颜色的箭头,對不同陣營的目標使用不同顏色的箭頭標示,Petze kann farbigen Pfeil sehen
SnitchCanFindNeutralKiller,Snitch Can Find Neutral Killer,Может Видеть Нейтральных Убийц,第三陣営のキル可能役職を見つけることが出来る,告密者可以与带刀中立互相发现,告密者也可以和中立陣營帶刀職業互認,Petze kann neutralen Killer aufdecken
SnitchCanFindCoven,Snitch Can Find Coven,Может Видеть Ковенов,第三陣営のキル可能役職を見つけることが出来る,告密者可以发现巫师团,告密者也可以和中立陣營帶刀職業互認,Petze kann Zirkel aufdecken
MayorAdditionalVote,Mayor Additional Votes Count,Дополнительные голоса у Mayor,メイヤーの追加投票の個数,市长额外票数,市長附加票數,Stimmanzahl
DeliverDistance,Deliver Distance,DeliverDistance,DeliverDistance,DeliverDistance,Liefer Distanz
ArrowPointingToRecievers,Arrow Pointing to Recievers,ArrowPointingToRecievers,ArrowPointingToRecievers,ArrowPointingToRecievers, Pfeile zu Empfängern
DisperseCooldown,Disperse Cooldown,Откат Рассеивания,DisperseCooldown,驱散冷却时间,DisperseCooldown,Disperse Abklingzeit
RedNameCooldownAfterLights,Cooldown for Name to be Red After Lights,Откат для того чтобы Никнейм стал Красным После Света,RedNameCooldownAfterLights,灯光正常后名字变成红色所需时间,RedNameCooldownAfterLights,Abklingzeit für rote Namen nach Licht Sabotage
RedNameCooldownAfterMeeting,Cooldown for Name to be Red After Meeting,Откат Красного Никнейма После Встречи,RedNameCooldownAfterMeeting,会议结束后名字变成红色所需时间,RedNameCooldownAfterMeeting,Abklingzeit für Rote Namen nach Meeting
BastionVentsRemoveOnBomb,Bombed Vents Do Not persist after 1 Bomb,Заминированная вентиляция сбрасывается после 1-ой бомбы,BastionVentsRemoveOnBomb,炸过1次的通风口不会再触发,BastionVentsRemoveOnBombs,Platzierte Bomben explodieren nur einmal
MayorHasPortableButton,Mayor Has Mobile Emergency Button,У Mayor Есть Портативная Кнопка,メイヤーがポータブルボタンを持っている,市长可以随时拍灯,市長可以隨時拍桌,Bürgermeister hat mobile Reportknöpfe
MayorNumOfUseButton,Number Of Mobile Emergency Button,Количество Портативных Кнопок,メイヤーが使えるボタンの回数,市长随时拍灯最大次数,市長隨時拍桌最大次數,Anzahl der mobilen Reportknöpfe
CanBeforeSchrodingerCatWinTheCrewmate,SchrodingerCat In No Team Can Win With Crewmates,SchrodingerCat Без Команды Может Победить С Членами Экипажа,役職変化前であれば、クルー陣営と勝利できる,薛定谔的猫加入其他阵营前可以跟随船员阵营获胜,薛定諤的貓的陣營轉變前可以和船員一起贏,Katze in keinem Team gewinnt mit der Besatzung
SchrodingerCatExiledTeamChanges,Team To Change After Exiled,Команда может измениться после его изгнания,シュレディンガーの猫が吊られた際、陣営が変化する,薛定谔的猫被放逐时会加入其他阵营,薛定諤的貓被丟出時陣營會改變,Teamwechsel nachdem rausgeworfen wurde
ExecutionerCanTargetImpostor,Executioner Can Target Impostor,Может Иметь Цель Изгнать Предателя,ｴｸｽｷｭｰｼｮﾅｰがインポスターもターゲットにできる,伪装者阵营可以成为处刑人的目标,劊子手的目標可以是狼人陣營的玩家,Verräter können Ziel des Henkers sein
ExecutionerChangeRolesAfterTargetKilled,Role After Target Dies,Роль После Смерти Его Цели,ｴｸｽｷｭｰｼｮﾅｰのターゲットがキルされた後に変化する役職,处刑人目标死亡后将变为,劊子手的目標被殺後轉變的職業,Rolle nachdem Ziel stirbt
